あいいく,1283,1283,5631,名詞,サ変接続,*,*,*,*,愛育,アイイク,アイイク
あいぎん,1283,1283,5631,名詞,サ変接続,*,*,*,*,愛吟,アイギン,アイギン
あいご,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛護,アイゴ,アイゴ
あいごう,1283,1283,5631,名詞,サ変接続,*,*,*,*,哀号,アイゴウ,アイゴー
あいごま,1283,1283,5631,名詞,サ変接続,*,*,*,*,合駒,アイゴマ,アイゴマ
あいず,1283,1283,5863,名詞,サ変接続,*,*,*,*,合図,アイズ,アイズ
あいたい,1283,1283,5631,名詞,サ変接続,*,*,*,*,相対,アイタイ,アイタイ
あいどく,1283,1283,5631,名詞,サ変接続,*,*,*,*,愛読,アイドク,アイドク
あいどりんぐ,1283,1283,5167,名詞,サ変接続,*,*,*,*,アイドリング,アイドリング,アイドリング
あいぼ,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛慕,アイボ,アイボ
あいみん,1283,1283,5631,名詞,サ変接続,*,*,*,*,哀愍,アイミン,アイミン
あいよう,1283,1283,5631,名詞,サ変接続,*,*,*,*,愛用,アイヨウ,アイヨー
あい反,1283,1283,5863,名詞,サ変接続,*,*,*,*,相反,アイハン,アイハン
あい吟,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛吟,アイギン,アイギン
あい好,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛好,アイコウ,アイコー
あい寵,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛寵,アイチョウ,アイチョー
あい対,1283,1283,5863,名詞,サ変接続,*,*,*,*,相対,アイタイ,アイタイ
あい用,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛用,アイヨウ,アイヨー
あい着,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛着,アイチャク,アイチャク
あい育,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛育,アイイク,アイイク
あい蔵,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛蔵,アイゾウ,アイゾー
あい賞,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛賞,アイショウ,アイショー
あい飲,1283,1283,5863,名詞,サ変接続,*,*,*,*,愛飲,アイイン,アイイン
あうふへーべん,1283,1283,4935,名詞,サ変接続,*,*,*,*,アウフヘーベン,アウフヘーベン,アウフヘーベン
あお青,1283,1283,5863,名詞,サ変接続,*,*,*,*,青青,アオアオ,アオアオ
あかやけ,1283,1283,5631,名詞,サ変接続,*,*,*,*,赤焼け,アカヤケ,アカヤケ
あか焼,1283,1283,5863,名詞,サ変接続,*,*,*,*,赤焼け,アカヤケ,アカヤケ
あか焼け,1283,1283,5631,名詞,サ変接続,*,*,*,*,赤焼け,アカヤケ,アカヤケ
あきあき,1283,1283,5631,名詞,サ変接続,*,*,*,*,飽き飽き,アキアキ,アキアキ
あきない,1283,1283,5345,名詞,サ変接続,*,*,*,*,商い,アキナイ,アキナイ
あきないがえ,1283,1283,5167,名詞,サ変接続,*,*,*,*,商い替え,アキナイガエ,アキナイガエ
あき飽,1283,1283,5863,名詞,サ変接続,*,*,*,*,飽き飽き,アキアキ,アキアキ
あき飽き,1283,1283,5631,名詞,サ変接続,*,*,*,*,飽き飽き,アキアキ,アキアキ
あくじゅんかん,1283,1283,4935,名詞,サ変接続,*,*,*,*,悪循環,アクジュンカン,アクジュンカン
あくせぷと,1283,1283,5399,名詞,サ変接続,*,*,*,*,アクセプト,アクセプト,アクセプト
あくせんくとう,1283,1283,4935,名詞,サ変接続,*,*,*,*,悪戦苦闘,アクセンクトウ,アクセンクトー
あくせん苦闘,1283,1283,5167,名詞,サ変接続,*,*,*,*,悪戦苦闘,アクセンクトウ,アクセンクトー
あくとう,1283,1283,5631,名詞,サ変接続,*,*,*,*,悪投,アクトウ,アクトー
あくぬき,1283,1283,5631,名詞,サ変接続,*,*,*,*,灰汁抜き,アクヌキ,アクヌキ
あくはつ,1283,1283,5631,名詞,サ変接続,*,*,*,*,握髪,アクハツ,アクハツ
あくめ,1283,1283,5863,名詞,サ変接続,*,*,*,*,アクメ,アクメ,アクメ
あくよう,1283,1283,5631,名詞,サ変接続,*,*,*,*,悪用,アクヨウ,アクヨー
あくろこるどん,1283,1283,4935,名詞,サ変接続,*,*,*,*,アクロコルドン,アクロコルドン,アクロコルドン
あく循環,1283,1283,5631,名詞,サ変接続,*,*,*,*,悪循環,アクジュンカン,アクジュンカン
あく戦くとう,1283,1283,5167,名詞,サ変接続,*,*,*,*,悪戦苦闘,アクセンクトウ,アクセンクトー
あく戦苦闘,1283,1283,5399,名詞,サ変接続,*,*,*,*,悪戦苦闘,アクセンクトウ,アクセンクトー
あく投,1283,1283,5863,名詞,サ変接続,*,*,*,*,悪投,アクトウ,アクトー
あく抜,1283,1283,5863,名詞,サ変接続,*,*,*,*,灰汁抜き,アクヌキ,アクヌキ
あく抜き,1283,1283,5631,名詞,サ変接続,*,*,*,*,灰汁抜き,アクヌキ,アクヌキ
あく用,1283,1283,5863,名詞,サ変接続,*,*,*,*,悪用,アクヨウ,アクヨー
あけくれ,1283,1283,5631,名詞,サ変接続,*,*,*,*,明け暮れ,アケクレ,アケクレ
あけしめ,1283,1283,5631,名詞,サ変接続,*,*,*,*,開け閉め,アケシメ,アケシメ
あけたて,1283,1283,5631,名詞,サ変接続,*,*,*,*,開け閉て,アケタテ,アケタテ
あけ暮,1283,1283,5863,名詞,サ変接続,*,*,*,*,明け暮れ,アケクレ,アケクレ
あけ暮れ,1283,1283,5631,名詞,サ変接続,*,*,*,*,明け暮れ,アケクレ,アケクレ
あけ閉,1283,1283,5863,名詞,サ変接続,*,*,*,*,開け閉め,アケシメ,アケシメ
あけ閉め,1283,1283,5631,名詞,サ変接続,*,*,*,*,開け閉め,アケシメ,アケシメ
あげさげ,1283,1283,5631,名詞,サ変接続,*,*,*,*,上げ下げ,アゲサゲ,アゲサゲ
あげづけ,1283,1283,5631,名詞,サ変接続,*,*,*,*,揚げ漬け,アゲヅケ,アゲズケ
あげやき,1283,1283,5631,名詞,サ変接続,*,*,*,*,揚げ焼き,アゲヤキ,アゲヤキ
あげ下,1283,1283,5863,名詞,サ変接続,*,*,*,*,上げ下げ,アゲサゲ,アゲサゲ
あげ下げ,1283,1283,5631,名詞,サ変接続,*,*,*,*,上げ下げ,アゲサゲ,アゲサゲ
あげ焼,1283,1283,5863,名詞,サ変接続,*,*,*,*,揚げ焼き,アゲヤキ,アゲヤキ
あげ焼き,1283,1283,5631,名詞,サ変接続,*,*,*,*,揚げ焼き,アゲヤキ,アゲヤキ
あごたたき,1283,1283,5399,名詞,サ変接続,*,*,*,*,顎叩き,アゴタタキ,アゴタタキ
あご叩,1283,1283,5863,名詞,サ変接続,*,*,*,*,顎叩き,アゴタタキ,アゴタタキ
あご叩き,1283,1283,5631,名詞,サ変接続,*,*,*,*,顎叩き,アゴタタキ,アゴタタキ
あさがえり,1283,1283,5399,名詞,サ変接続,*,*,*,*,朝帰り,アサガエリ,アサガエリ
